"Symbol","Date","Expiry","Option Type","Strike Price","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Premium Turnover in Lacs","Open Int","Change in OI","Underlying Value"
"SBIN","24-Aug-2016","27-Oct-2016","CE","250","0","0","0","6.2","6.2","20.8","0","0","0","30000","0","254.4"
"SBIN","25-Aug-2016","27-Oct-2016","CE","250","0","0","0","6.2","6.2","18","0","0","0","30000","0","250.15"
"SBIN","26-Aug-2016","27-Oct-2016","CE","250","0","0","0","6.2","6.2","15.65","0","0","0","30000","0","246.6"
"SBIN","29-Aug-2016","27-Oct-2016","CE","250","10.6","10.65","10.35","10.65","10.65","10.65","9","70.36","2.86","54000","24000","249.05"
"SBIN","30-Aug-2016","27-Oct-2016","CE","250","12.85","13.7","12.6","13.4","13.3","13.4","18","142.07","7.07","66000","12000","252.25"
"SBIN","31-Aug-2016","27-Oct-2016","CE","250","14.1","15.1","13.25","13.65","13.25","13.65","10","79.28","4.28","66000","0","252.5"
"SBIN","01-Sep-2016","27-Oct-2016","CE","250","13.8","14.35","13.8","14.35","14.35","14.35","3","23.76","1.26","75000","9000","252"
"SBIN","02-Sep-2016","27-Oct-2016","CE","250","13.3","13.75","13.25","13.7","13.7","13.7","6","47.42","2.42","90000","15000","254.6"
"SBIN","06-Sep-2016","27-Oct-2016","CE","250","16.2","17.5","16","16.95","17.5","16.95","12","95.9","5.9","90000","0","260.1"
"SBIN","07-Sep-2016","27-Oct-2016","CE","250","20","24.25","20","24.25","24.25","24.25","6","48.92","3.92","84000","-6000","266.8"
"SBIN","08-Sep-2016","27-Oct-2016","CE","250","24","24","23","23.5","23.5","23.5","7","57.39","4.89","84000","0","268.35"
"SBIN","09-Sep-2016","27-Oct-2016","CE","250","21.6","21.6","21.25","21.3","21.3","21.3","3","24.42","1.92","75000","-9000","264.1"
"SBIN","12-Sep-2016","27-Oct-2016","CE","250","15","16.9","13.5","13.5","13.5","13.5","7","55.65","3.15","72000","-3000","252.75"
"SBIN","14-Sep-2016","27-Oct-2016","CE","250","14.45","16.4","14.45","16.35","16.4","16.35","38","303.51","18.51","174000","102000","257.55"
"SBIN","15-Sep-2016","27-Oct-2016","CE","250","15","15","13.85","13.85","13.85","13.85","3","23.82","1.32","180000","6000","256"
"SBIN","16-Sep-2016","27-Oct-2016","CE","250","17.55","17.55","17","17","17","17","2","16.04","1.04","177000","-3000","254.3"
